megyekod;Település;tipus;ferfi;no
BUD;Budapest 01;fővárosi kerület;11 799;13 580
BUD;Budapest 02;fővárosi kerület;38 659;45 138
BUD;Budapest 03;fővárosi kerület;56 110;65 452
BUD;Budapest 04;fővárosi kerület;41 788;49 026
BUD;Budapest 05;fővárosi kerület;11 812;12 528
BUD;Budapest 06;fővárosi kerület;16 897;18 104
BUD;Budapest 07;fővárosi kerület;22 691;24 482
BUD;Budapest 08;fővárosi kerület;34 080;33 739
BUD;Budapest 09;fővárosi kerület;25 519;26 827
BUD;Budapest 10;fővárosi kerület;31 874;35 821
BUD;Budapest 11;fővárosi kerület;60 248;69 486
BUD;Budapest 12;fővárosi kerület;25 145;29 856
BUD;Budapest 13;fővárosi kerület;55 297;61 587
BUD;Budapest 14;fővárosi kerület;50 536;59 920
BUD;Budapest 15;fővárosi kerület;34 319;39 316
BUD;Budapest 16;fővárosi kerület;33 650;37 925
BUD;Budapest 17;fővárosi kerület;40 335;44 960
BUD;Budapest 18;fővárosi kerület;46 499;51 522
BUD;Budapest 19;fővárosi kerület;25 360;29 108
BUD;Budapest 20;fővárosi kerület;28 411;31 433
BUD;Budapest 21;fővárosi kerület;31 923;35 978
BUD;Budapest 22;fővárosi kerület;26 456;28 676
BUD;Budapest 23;fővárosi kerület;11 055;11 314
BAC;Kecskemét;vármegye székhely;50 783;55 943
BAC;Baja;vármegyei jogú város;15 857;17 853
BAC;Bácsalmás;város;3 103;3 222
BAC;Dunavecse;város;2 018;2 098
BAC;Hajós;város;1 383;1 533
BAC;Izsák;város;2 821;2 985
BAC;Jánoshalma;város;4 156;4 268
BAC;Kalocsa;város;7 028;7 750
BAC;Kecel;város;4 056;4 228
BAC;Kerekegyháza;város;3 357;3 380
BAC;Kiskőrös;város;6 443;7 175
BAC;Kiskunfélegyháza;város;13 817;15 039
BAC;Kiskunhalas;város;12 693;13 755
BAC;Kiskunmajsa;város;5 375;5 810
BAC;Kunszentmiklós;város;4 057;4 223
BAC;Lajosmizse;város;6 033;6 044
BAC;Mélykút;város;2 447;2 491
BAC;Solt;város;3 064;3 141
BAC;Soltvadkert;város;3 493;3 655
BAC;Szabadszállás;város;2 991;3 174
BAC;Tiszakécske;város;5 676;5 836
BAC;Tompa;város;2 255;2 232
BAC;Bácsbokod;nagyközség;1 246;1 256
BAC;Bugac;nagyközség;1 352;1 400
BAC;Dunapataj;nagyközség;1 553;1 610
BAC;Harta;nagyközség;1 599;1 686
BAC;Helvécia;nagyközség;2 722;2 719
BAC;Lakitelek;nagyközség;2 506;2 530
BAC;Sükösd;nagyközség;1 797;1 843
BAC;Tiszaalpár;nagyközség;2 470;2 500
BAC;Ágasegyháza;község;1 013;993
BAC;Akasztó;község;1 631;1 670
BAC;Apostag;község;1 105;1 051
BAC;Bácsborsód;község;526;544
BAC;Bácsszentgyörgy;község;73;67
BAC;Bácsszőlős;község;167;150
BAC;Ballószög;község;2 294;2 239
BAC;Balotaszállás;község;718;775
BAC;Bátmonostor;község;776;777
BAC;Bátya;község;991;979
BAC;Bócsa;község;981;943
BAC;Borota;község;610;611
BAC;Bugacpusztaháza;község;140;130
BAC;Császártöltés;község;1 075;1 142
BAC;Csátalja;község;706;710
BAC;Csávoly;község;831;893
BAC;Csengőd;község;1 034;1 109
BAC;Csikéria;község;363;373
BAC;Csólyospálos;község;808;824
BAC;Dávod;község;994;1 030
BAC;Drágszél;község;161;154
BAC;Dunaegyháza;község;777;750
BAC;Dunafalva;község;448;440
BAC;Dunaszentbenedek;község;401;397
BAC;Dunatetétlen;község;282;267
BAC;Dusnok;község;1 423;1 487
BAC;Érsekcsanád;község;1 493;1 500
BAC;Érsekhalma;község;297;299
BAC;Fajsz;község;809;827
BAC;Felsőlajos;község;521;501
BAC;Felsőszentiván;község;901;965
BAC;Foktő;község;706;759
BAC;Fülöpháza;község;453;443
BAC;Fülöpjakab;község;623;584
BAC;Fülöpszállás;község;1 167;1 210
BAC;Gara;község;1 072;1 103
BAC;Gátér;község;447;434
BAC;Géderlak;község;444;507
BAC;Harkakötöny;község;381;395
BAC;Hercegszántó;község;941;962
BAC;Homokmégy;község;625;647
BAC;Imrehegy;község;326;305
BAC;Jakabszállás;község;1 342;1 434
BAC;Jászszentlászló;község;1 241;1 287
BAC;Kaskantyú;község;508;458
BAC;Katymár;község;822;877
BAC;Kelebia;község;1 217;1 219
BAC;Kéleshalom;község;224;216
BAC;Kisszállás;község;1 149;1 181
BAC;Kömpöc;község;342;360
BAC;Kunadacs;község;722;720
BAC;Kunbaja;község;717;767
BAC;Kunbaracs;község;336;382
BAC;Kunfehértó;község;1 121;1 166
BAC;Kunpeszér;község;401;380
BAC;Kunszállás;község;890;938
BAC;Ladánybene;község;909;868
BAC;Madaras;község;1 374;1 396
BAC;Mátételke;község;251;242
BAC;Miske;község;831;857
BAC;Móricgát;község;224;220
BAC;Nagybaracska;község;1 078;1 101
BAC;Nemesnádudvar;község;877;885
BAC;Nyárlőrinc;község;1 169;1 155
BAC;Ordas;község;217;238
BAC;Orgovány;község;1 699;1 749
BAC;Öregcsertő;község;384;370
BAC;Páhi;község;611;592
BAC;Pálmonostora;község;896;885
BAC;Petőfiszállás;község;754;750
BAC;Pirtó;község;447;429
BAC;Rém;község;622;658
BAC;Soltszentimre;község;692;663
BAC;Szakmár;község;600;590
BAC;Szalkszentmárton;község;1 493;1 471
BAC;Szank;község;1 172;1 179
BAC;Szentkirály;község;993;971
BAC;Szeremle;község;683;663
BAC;Tabdi;község;527;528
BAC;Tass;község;1 475;1 472
BAC;Tataháza;község;600;607
BAC;Tázlár;község;864;876
BAC;Tiszaug;község;469;462
BAC;Újsolt;község;83;87
BAC;Újtelek;község;188;190
BAC;Uszód;község;419;482
BAC;Városföld;község;1 089;1 169
BAC;Vaskút;község;1 640;1 719
BAC;Zsana;község;357;350
BAR;Pécs;vármegye székhely;64 429;74 610
BAR;Bóly;város;1 772;1 910
BAR;Harkány;város;2 646;2 895
BAR;Komló;város;11 153;12 220
BAR;Kozármisleny;város;3 474;3 562
BAR;Mágocs;város;1 146;1 129
BAR;Mohács;város;8 493;9 432
BAR;Pécsvárad;város;1 915;2 045
BAR;Sásd;város;1 440;1 528
BAR;Sellye;város;1 206;1 297
BAR;Siklós;város;4 289;4 899
BAR;Szentlőrinc;város;2 933;3 160
BAR;Szigetvár;város;4 620;5 071
BAR;Villány;város;1 030;1 089
BAR;Beremend;nagyközség;1 128;1 183
BAR;Szászvár;nagyközség;1 155;1 183
BAR;Vajszló;nagyközség;815;886
BAR;Abaliget;község;331;296
BAR;Adorjás;község;90;87
BAR;Ág;község;89;89
BAR;Almamellék;község;204;192
BAR;Almáskeresztúr;község;41;42
